fips,date,score,prec_sum_7d,prec_sum_30d,prec_sum_90d,prec_sum_180d,t2m_mean_7d,t2m_max_mean_7d,t2m_min_mean_7d,t2m_range_mean_7d,ts_mean_7d,t2m_mean_30d,t2m_max_mean_30d,t2m_min_mean_30d,t2m_range_mean_30d,ts_mean_30d,t2m_mean_90d,t2m_max_mean_90d,t2m_min_mean_90d,t2m_range_mean_90d,ts_mean_90d,t2m_mean_180d,t2m_max_mean_180d,t2m_min_mean_180d,t2m_range_mean_180d,ts_mean_180d,t2m_max_7d,t2m_max_30d,qv2m_mean_7d,t2mdew_mean_7d,t2mwet_mean_7d,qv2m_mean_30d,t2mdew_mean_30d,t2mwet_mean_30d,qv2m_mean_90d,t2mdew_mean_90d,t2mwet_mean_90d,ws10m_mean_7d,ws10m_max_7d,ws10m_min_mean_7d,ws10m_range_mean_7d,ws50m_mean_7d,ws50m_max_7d,ws50m_min_mean_7d,ws50m_range_mean_7d,ws10m_mean_30d,ws10m_max_30d,ws10m_min_mean_30d,ws10m_range_mean_30d,ws50m_mean_30d,ws50m_max_30d,ws50m_min_mean_30d,ws50m_range_mean_30d,ps_mean_7d,ps_mean_30d,prec_deficit_30v90d,prec_deficit_7v30d,temp_anomaly_7v90d,temp_anomaly_30v180d,vpd_proxy_7d,vpd_proxy_30d
6107,2000-01-04,0.907,0.46,0.46,0.46,0.46,2.0425,8.33,-1.99,10.32,0.4225,2.0425,8.33,-1.99,10.32,0.4225,2.0425,8.33,-1.99,10.32,0.4225,2.0425,8.33,-1.99,10.32,0.4225,11.72,11.72,2.88,-5.93,-5.7925,2.88,-5.93,-5.7925,2.88,-5.93,-5.7925,1.99,4.53,0.53,3.0875,2.6075,5.49,0.7625,3.9775,1.99,4.53,0.53,3.0875,2.6075,5.49,0.7625,3.9775,86.3175,86.3175,0.3066666666666666,0.3530232558139535,0.0,0.0,7.9725,7.9725
6107,2000-01-11,1.0,0.99,1.45,1.45,1.45,4.529999999999999,11.957142857142856,-0.457142857142857,12.415714285714284,1.4985714285714284,3.625454545454545,10.63818181818182,-1.0145454545454542,11.653636363636364,1.1072727272727272,3.625454545454545,10.63818181818182,-1.0145454545454542,11.653636363636364,1.1072727272727272,3.625454545454545,10.63818181818182,-1.0145454545454542,11.653636363636364,1.1072727272727272,13.94,13.94,2.3685714285714283,-9.112857142857145,-8.55,2.5545454545454547,-7.955454545454544,-7.547272727272728,2.5545454545454547,-7.955454545454544,-7.547272727272728,1.8771428571428568,4.29,0.5214285714285715,3.222857142857143,2.5242857142857145,6.55,0.6328571428571428,4.215714285714286,1.918181818181818,4.53,0.5245454545454545,3.173636363636364,2.5545454545454542,6.55,0.6799999999999999,4.129090909090909,86.37285714285714,86.35272727272728,0.9666666666666666,0.6527906976744187,0.9045454545454544,0.0,13.642857142857142,11.580909090909088
6107,2000-01-18,1.0,19.92,21.37,21.37,21.37,7.541428571428573,12.537142857142856,4.188571428571428,8.35,5.112857142857143,5.148333333333333,11.376666666666663,1.008888888888889,10.368888888888888,2.665,5.148333333333333,11.376666666666663,1.008888888888889,10.368888888888888,2.665,5.148333333333333,11.376666666666663,1.008888888888889,10.368888888888888,2.665,16.86,16.86,4.701428571428571,-0.44,-0.285714285714286,3.389444444444445,-5.032777777777778,-4.723333333333333,3.389444444444445,-5.032777777777778,-4.723333333333333,1.59,3.91,0.4471428571428571,2.6700000000000004,2.4128571428571424,6.48,0.6842857142857143,3.851428571428571,1.7905555555555557,4.53,0.4944444444444444,2.977777777777778,2.4994444444444444,6.55,0.6816666666666668,4.021111111111112,86.4042857142857,86.3727777777778,14.246666666666666,14.950232558139536,2.3930952380952397,0.0,7.981428571428573,10.181111111111113
6107,2000-01-25,1.0,48.61000000000001,69.97999999999999,69.97999999999999,69.97999999999999,6.114285714285714,10.381428571428572,3.268571428571429,7.115714285714286,5.131428571428572,5.4188,11.098,1.6415999999999995,9.458,3.3556,5.4188,11.098,1.6415999999999995,9.458,3.3556,5.4188,11.098,1.6415999999999995,9.458,3.3556,14.03,16.86,5.598571428571428,2.781428571428572,2.795714285714286,4.008,-2.8448,-2.6179999999999994,4.008,-2.8448,-2.6179999999999994,1.477142857142857,3.61,0.3285714285714285,2.665714285714285,2.1,5.26,0.5371428571428571,3.271428571428572,1.7028,4.53,0.4479999999999999,2.8904,2.3876000000000004,6.55,0.6412,3.811200000000001,86.13714285714286,86.30680000000001,46.65333333333332,32.33558139534885,0.6954857142857138,0.0,3.3328571428571423,8.2636
6107,2000-02-01,1.0,8.49,78.11,78.47,78.47,4.364285714285715,11.097142857142858,0.0771428571428571,11.01857142857143,2.788571428571429,5.532666666666668,11.506666666666666,1.5803333333333334,9.927333333333332,3.470666666666667,5.188124999999999,11.0978125,1.299375,9.799375,3.2315625,5.188124999999999,11.0978125,1.299375,9.799375,3.2315625,15.77,16.86,3.617142857142857,-3.2585714285714285,-3.161428571428572,3.957666666666667,-2.869333333333333,-2.662,3.9225,-2.9353125,-2.736875,2.198571428571429,3.73,1.0057142857142858,2.3285714285714283,3.075714285714286,5.69,1.4885714285714289,2.981428571428572,1.7940000000000005,4.29,0.5700000000000001,2.7233333333333336,2.526,6.55,0.8286666666666667,3.5826666666666664,86.22142857142858,86.31333333333333,51.95333333333333,-9.675116279069767,-0.8238392857142847,0.3445416666666681,7.622857142857143,8.402000000000001
6107,2000-02-08,0.9852,1.2000000000000002,78.97000000000003,79.67000000000002,79.67000000000002,8.207142857142856,15.83,3.358571428571429,12.471428571428572,6.327142857142857,6.397666666666668,12.285666666666666,2.625333333333333,9.661333333333332,4.602,5.73,11.947179487179486,1.668974358974359,10.278974358974358,3.787179487179488,5.73,11.947179487179486,1.668974358974359,10.278974358974358,3.787179487179488,20.49,20.49,3.845714285714286,-2.4085714285714284,-2.312857142857143,4.3936666666666655,-0.945,-0.8573333333333333,3.908717948717949,-2.840769230769231,-2.6607692307692306,2.3457142857142856,5.67,0.9671428571428572,2.735714285714286,3.6857142857142855,8.09,1.5685714285714285,4.421428571428572,1.8903333333333328,5.67,0.674,2.644333333333333,2.781999999999999,8.09,1.0433333333333334,3.644333333333333,86.33857142857143,86.27266666666668,52.41333333333336,-17.165116279069775,2.477142857142855,0.6676666666666673,10.615714285714285,7.342666666666668
6107,2000-02-15,0.8487,53.27,124.68,132.94,132.94,4.311428571428571,8.25,0.7885714285714284,7.462857142857143,3.772857142857143,5.869666666666666,11.354,2.1206666666666667,9.234000000000002,4.641333333333334,5.514130434782609,11.384565217391303,1.5350000000000004,9.850434782608694,3.785,5.514130434782609,11.384565217391303,1.5350000000000004,9.850434782608694,3.785,13.1,20.49,4.99,1.2114285714285715,1.2300000000000002,4.678,0.0326666666666667,0.0853333333333332,4.0732608695652175,-2.2241304347826087,-2.068695652173913,1.972857142857143,6.14,0.6357142857142858,3.3442857142857143,2.885714285714286,8.55,1.02,4.602857142857141,1.957,6.14,0.706,2.714,2.899666666666667,8.55,1.108,3.814,85.89,86.16433333333335,80.36666666666667,24.274651162790697,-1.2027018633540374,0.3555362318840576,3.1,5.837
6107,2000-02-22,0.0,29.23,119.28,162.17000000000002,162.17000000000002,3.745714285714286,8.89,-0.0728571428571427,8.964285714285714,3.2971428571428567,5.206333333333332,10.843,1.2416666666666667,9.602,4.1610000000000005,5.280566037735848,11.055094339622642,1.322641509433962,9.733396226415094,3.720566037735849,5.280566037735848,11.055094339622642,1.322641509433962,9.733396226415094,3.720566037735849,13.1,20.49,4.158571428571428,-1.1700000000000002,-1.1414285714285717,4.292,-1.003,-0.9470000000000002,4.084528301886791,-2.0849056603773586,-1.9462264150943396,2.9128571428571424,6.64,1.615714285714286,2.7985714285714285,4.365714285714285,9.36,2.588571428571428,3.5742857142857143,2.301333333333333,6.64,1.015,2.7863333333333333,3.4359999999999995,9.36,1.616,3.891666666666667,85.77428571428571,86.05866666666667,65.22333333333333,1.4904651162790683,-1.5348517520215617,-0.0742327044025152,4.915714285714286,6.2093333333333325
6107,2000-02-29,0.0,34.86,119.1,197.03,197.03,2.3814285714285712,6.941428571428572,-1.422857142857143,8.364285714285714,1.5214285714285711,4.6850000000000005,10.097333333333337,0.659,9.438999999999998,3.7003333333333335,4.942333333333334,10.575166666666664,1.0023333333333333,9.573666666666666,3.4640000000000004,4.942333333333334,10.575166666666664,1.0023333333333333,9.573666666666666,3.4640000000000004,12.21,20.49,4.275714285714286,-0.7685714285714286,-0.7557142857142859,4.305333333333334,-0.7993333333333333,-0.7613333333333332,4.1068333333333324,-1.9313333333333336,-1.8073333333333332,2.097142857142857,6.1,0.61,3.347142857142857,2.8228571428571425,8.37,0.8957142857142857,3.875714285714286,2.319666666666667,6.64,0.9423333333333332,3.0366666666666675,3.405666666666667,9.36,1.4866666666666668,4.106,85.83285714285714,85.99333333333333,53.42333333333333,7.162325581395347,-2.5609047619047627,-0.2573333333333334,3.15,5.484333333333334
6107,2000-03-07,0.0,28.7,146.35,225.73,225.73,3.128571428571429,8.804285714285713,-1.2799999999999998,10.084285714285716,2.5285714285714285,3.810666666666666,8.833666666666666,-0.1833333333333333,9.017666666666663,3.107666666666666,4.752835820895522,10.390149253731344,0.7638805970149254,9.627014925373135,3.3662686567164184,4.752835820895522,10.390149253731344,0.7638805970149254,9.627014925373135,3.3662686567164184,14.26,19.73,4.141428571428572,-1.3128571428571427,-1.2871428571428571,4.344333333333333,-0.6649999999999999,-0.6376666666666666,4.110447761194028,-1.866716417910448,-1.7529850746268656,1.9657142857142855,4.7,0.4414285714285713,2.765714285714286,2.802857142857143,7.28,0.687142857142857,3.74,2.253,6.64,0.8373333333333334,3.007333333333334,3.2683333333333326,9.36,1.3356666666666668,3.931666666666666,85.3,85.75366666666669,71.10666666666665,-5.334883720930232,-1.6242643923240934,-0.9421691542288556,4.441428571428572,4.475666666666666
